_key,link,nutritional_info/Grasimi,nutritional_info/Valoare energetica,nutritional_info/Glucide,nutritional_info/Fibre,nutritional_info/Sodiu,nutritional_info/Proteine,nutritional_info/Grasimi saturate,Ingrediente,Alergeni
Guma de mestecat cu aroma de menta 67g,https://www.mega-image.ro/Dulciuri-si-snacks/Dropsuri-guma-si-jeleuri/Guma-de-mestecat/Guma-de-mestecat-cu-aroma-de-menta-67g/p/34637,N/A,160 kcal/100 g,67 g/100 g,N/A,N/A,N/A,N/A,"Indulcitori xilitol, sorbitol, manitol, aspartam, sucraloza, acesulfam -K, baza de guma, arome, agent de ingrosare: guma arabica, uleiuri de menta 1%, emulsifiant: lecitina din SOIA, agent de glazurare: ceara de carnauba, antioxidant BHA, colorant E133.",Soia.
Chips din cartofi cu gust de ardei gras rosu 200g,https://www.mega-image.ro/Dulciuri-si-snacks/Chipsuri/Alte-arome/Chips-din-cartofi-cu-gust-de-ardei-gras-rosu-200g/p/36309,33 g/100 g,528 kcal/100 g,48 g/100 g,N/A,1.30 g/100 g,7.10 g/100 g,3.20 g/100 g,"Cartofi, ulei de floarea soarelui 33%, boia de ardei dulce 1.4%, sare, zahar, aroma naturala, extract de drojdie, pudra de ceapa, usturoi pudra, colorant (extract de ardei rosu), acidifiant(acid citric).","Poate contine urme de cereale care contin gluten, lapte, soia."
Biscuiti Baiocchi 260g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Biscuiti-cu-crema/Biscuiti-Baiocchi-260g/p/36565,26 g/100 g,511 kcal/100 g,60 g/100 g,3.3 g/100 g,0.750 g/100 g,7.50 g/100 g,7.50 g/100 g,"Faina de GRAU, zahar, ulei de floarea soarelui, OUA proaspete, LAPTE praf degresat, LAPTE proaspat pasteurizat, agent de crestere (carbonat de amoniu, carbonat de sodiu, tartrat monopotasic), sare, amidon de GRAU, aromatizant, crema de ALUNE si cacao 25.5%:zahar, grasimi vegetale si uleiuri (shea, nuca de cocos, cacao, ALUNE 6.4%, cacao 2.7%, LAPTE praf degresat, amidon de GRAU, arome.","Grau, lapte, alune. Poate contine urme de nuci, susan si soia."
Baton alb cu lapte si unt 80g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Batoane/Baton-alb-cu-lapte-si-unt-80g/p/36981,18.70 g/100 g,437 kcal/100 g,59.40 g/100 g,1.80 g/100 g,0.41 g/100 g,6.80 g/100 g,11.70 g/100 g,"Zahar, LAPTE praf mim. 37%, UNT mim. 15%(LAPTE), aroma de vanilie, conservant: sorbat de potasiu.","Lapte. Poate contine urme de arahide, seminte de susan, fructe cu coaja lemnoasa, ou."
Covrigei pentru bere 230g,https://www.mega-image.ro/Dulciuri-si-snacks/Popcorn-covrigei-si-pufuleti/Covrigei-si-mixuri/Covrigei-pentru-bere-230g/p/37601,4.1 g/100 g,379 kcal/100 g,74 g/100 g,3 g/100 g,3.8 g/100 g,10 g/100 g,1.8 g/100 g,"Faina alba de GRAU 650, amidon de porumb, zahar, ulei vegetal de palmier, sare iodata 2.3%, sare iodata decor 1.6%, seminte de mac 0.95%, drojdie, otet din vin.",Contine gluten. Poate contine urme de seminte de susan.
Arahide cu sare 300g,https://www.mega-image.ro/Dulciuri-si-snacks/Seminte-alune-si-fructe-uscate/Arahide-si-alune/Arahide-cu-sare-300g/p/38063,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ciocolata cu lapte si alune 180g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-cu-lapte-si-alune-180g/p/38254,36 g/100 g,560 kcal/100 g,48 g/100 g,N/A,0.19 g/100 g,8.4 g/100 g,19 g/100 g,"Zahar, LAPTE praf integral 21%, unt de cacao, masa de cacao, ALUNE de padure 10%, emulsifiant (lecitina de SOIA). Cacao: minimum 32%.","Contine lapte, alune de padure si soia. Poate contine urme de gluten, oua, arahide si alte fructe cu coaja lemnoasa."
Ciocolata cu lichior 187g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Praline-si-bomboane/Ciocolata-cu-lichior-187g/p/38124,24 g/100 g,460 kcal/100 g,56 g/100 g,N/A,N/A,2.6 g/100 g,15 g/100 g,"Zahar, masa de cacao, unt de cacao, apa, bauturi spirtoase 6% (whisky, vodca, lichior de portocale), alcool. Minim 50% substanta solida de cacao in ciocolata neagra.",Poate contine urme de lapte si de fructe cu coaja lemnoasa.
Biscuiti cu cacao 400g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Biscuiti-simpli/Biscuiti-cu-cacao-400g/p/39215,17.8 g/100 g,450.4 kcal/100 g,64.5 g/100 g,2.5 g/100 g,0.6 g/100 g,6.8 g/100 g,3.7 g/100 g,"Faina de GRAU, zahar, margarina (uleiuri de floarea soarelui si de palmier, apa, sare, emulgatori: mono- si digliceride ale acizilor grasi, lecitina de SOIA, colorant alimentar: beta-caroten, aroma de unt - frisca identic naturala, conservant: acid sorbic, regulator de aciditate: acid lactic), cacao praf (3.9%), sare, afanatori: carbonat de amoniu, bicarbonat de sodiu, aroma de lapte caramela identic naturala, acidifiant: acid citric.",Contine gluten si soia.
Biscuiti cu secara si 5 seminte 400g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Biscuiti-simpli/Biscuiti-cu-secara-si-5-seminte-400g/p/39213,20.2 g/100 g,435.5 kcal/100 g,59.3 g/100 g,4 g/100 g,0.8 g/100 g,7 g/100 g,3.8 g/100 g,"Faina de GRAU calitatea intai, zahar cristal, margarina (ulei de floarea soarelui, ulei de palmier rafinat, aroma identic naturala de unt, emulgatori: mono- si digliceridele acizilor grasi, lecitina din SOIA: colorant (B-caroten), acidifiant: acid lactic, sare alimentara), fulgi de SECARA semialba (5%), miez de floarea soarelui (3.7%), concentrat de must de cvas, seminte de SUSAN 2.1%, seminte de in 2.1%, seminte de chia 0.5%, seminte de dovleac 0.5%, agent de afanare: bicarbonat de sodiu, emulgator: lecitina de SOIA, sare, aroma, acidifiant: acid citric, antioxidant (tocoferol, ulei de SOIA).","Contine: gluten, soia si seminte de susan. Poate contine urme de oua, lapte, fructe cu coaja lemnoasa."
Arahide in aluat cu aroma de cascaval 60g,https://www.mega-image.ro/Dulciuri-si-snacks/Seminte-alune-si-fructe-uscate/Arahide-si-alune/Arahide-in-aluat-cu-aroma-de-cascaval-60g/p/39541,33 g/100 g,519 kcal/100 g,40 g/100 g,N/A,4.50 g/100 g,15 g/100 g,8.40 g/100 g,"44% ARAHIDE, aluat (faina de GRAU, faina de orez, amidon, zahar, sare), ulei vegetal (palmier), mix de condimente (sare, zahar, pudra de ZER 0.1%, pudra de cascaval, potentiatori de aroma: glutamat monosodic, condimente, aroma (contine derivate de LAPTE), acid alimentar:acid citric, extracte de condimente).","Arahide, grau, lapte. Poate contine urme de fructe cu coaja lemnoasa."
Biscuiti minis 120g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Biscuiti-simpli/Biscuiti-minis-120g/p/41757,11 g/100 g,439 kcal/100 g,76 g/100 g,N/A,0.78 g/100 g,7.8 g/100 g,6.80 g/100 g,N/A,"Lapte, oua. Poate contine urme de migdale si alune de padure."
"Chipsuri din cartofi, prajiti, cu gust de cascaval 200g",https://www.mega-image.ro/Dulciuri-si-snacks/Chipsuri/Alte-arome/Chipsuri-din-cartofi-prajiti-cu-gust-de-cascaval-200g/p/45636,34 g/100 g,529 kcal/100 g,47 g/100 g,N/A,1.6 g/100 g,7.1 g/100 g,3.3 g/100 g,"Cartofi, ulei de floarea-soarelui (33%), aroma, sare, ZER dulce praf, sirop de glucoza, extract de drojdie, CASCAVAL pudra (0.4%), LAPTE praf degresat, ulei de UNT, colorant (extract de ardei rosu), proteine din LAPTE, condiment.","Contine lapte. Poate contine urme de cereale care contin gluten (orz, grau) si soia."
Mini grisine cu ulei masline 250g,https://www.mega-image.ro/Dulciuri-si-snacks/Popcorn-covrigei-si-pufuleti/Covrigei-si-mixuri/Mini-grisine-cu-ulei-masline-250g/p/45665,6.9 g/100 g,415 kcal/100 g,73 g/100 g,4.3 g/100 g,1.60 g/100 g,13 g/100 g,1.4 g/100 g,"faina de GRAU tanar de tip ""0"", ulei de masline 6%, drojdie de bere, faina din malt de GRAU, sare.",Contine gluten. Poate contine urme de seminte de susan si soia.
Chipsuri din cartofi cu aroma de cascaval 60g,https://www.mega-image.ro/Dulciuri-si-snacks/Chipsuri/Alte-arome/Chipsuri-din-cartofi-cu-aroma-de-cascaval-60g/p/46821,34 g/100 g,529 kcal/100 g,47 g/100 g,N/A,1.60 g/100 g,7.10 g/100 g,3.30 g/100 g,"Cartofi, ulei de floarea-soarelui, aroma, sare, ZER dulce praf, sirop deglucoza, extract de drojdie (contine ORZ), CASCAVAL pudra, LAPTE praf degresat,ulei de UNT, colorant (extract de ardei rosu), proteine din LAPTE, condiment.","Lapte, gluten. Poate contine urme de soia."
Covrigei cu tarate 100g,https://www.mega-image.ro/Dulciuri-si-snacks/Popcorn-covrigei-si-pufuleti/Covrigei-si-mixuri/Covrigei-cu-tarate-100g/p/71069,20.8 g/100 g,466 kcal/100 g,54.6 g/100 g,N/A,1.50 g/100 g,12.3 g/100 g,3.20 g/100 g,"Faina de GRAU tip 650, ulei de masline (min 15%), tarate de GRAU (min 10%), susan, drojdie, sare iodata, antioxidant (extract de rozmarin).",Contine gluten si susan.
Saratele cu susan 110g,https://www.mega-image.ro/Dulciuri-si-snacks/Popcorn-covrigei-si-pufuleti/Covrigei-si-mixuri/Saratele-cu-susan-110g/p/2407,13 g/100 g,443 kcal/100 g,69 g/100 g,2.60 g/100 g,2.80 g/100 g,12 g/100 g,2.20 g/100 g,"Faina alba de GRAU, SUSAN 8%, ulei vegetal din floarea soarelui, sare iodata 2.4%, zahar, cascaval 1.2% (LAPTE, culturi lactice, cheag, sare), LAPTE praf degresat, agent de afanare: bicarbonat de amoniu, emulsifiant: lecitina din floarea soarelui, antioxidant: extract de rozmarim.","Grau, lapte, susan."
Snack cu sare 200g,https://www.mega-image.ro/Dulciuri-si-snacks/Popcorn-covrigei-si-pufuleti/Covrigei-si-mixuri/Snack-cu-sare-200g/p/21747,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jeleuri acrisoare cu aroma de fructe 100g,https://www.mega-image.ro/Dulciuri-si-snacks/Dropsuri-guma-si-jeleuri/Jeleuri-si-caramele/Jeleuri-acrisoare-cu-aroma-de-fructe-100g/p/7481,<0.5 g/100 g,347 kcal/100 g,85 g/100 g,N/A,0.36 g/100 g,<0.5 g/100 g,<0.1 g/100 g,"Sirop de glucoza, zahar, amidon, gelatina, acidifiant: acid malic, acif citric, gelifiant, guma Gellan , acidifianti: citrat trisodic, citrat tricalic, hidrogen malat de sodiu, aroma, concentrate din fructe si din plante, fructe: fructe de soc, aronia, strugure, coacaze negre, portocala, lamaie, spirulina, sofranel, sirop de zahar caramelizat, agent de glazurare: ceara de canauba, extract din fructe de soc.",Poate contine urme de lapte si grau
Nuga cu migdale si merisoare 60g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Nuga-halva-si-rahat/Nuga-cu-migdale-si-merisoare-60g/p/12678,7.6 g/100 g,396 kcal/100 g,74.9 g/100 g,4.5 g/100 g,0.06 g/100 g,4.6 g/100 g,N/A,"Zahar, sirop de glucoza, MIGDALE minimum 11%, merisoare minimum 9%, miere, albus de OU praf, foi de napolitana, faina de GRAU(GLUTEN), uleiuri vegetale nehidrogenate(palmier, floarea-soarelui), sare iodata, emulsifiant, lecitina din SOIA, agent de afanare, bicarbonat de sodiu, aroma de vanilie.","Migdale, ou. Poate contine urme de lapte, alte fructe cu coaja lemnoasa, arahide, seminte de susan, soia."
Ciocolata cu lapte si fistic 30g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-cu-lapte-si-fistic-30g/p/13356,35 g/100 g,553 kcal/100 g,50 g/100 g,3.1 g/100 g,0.33 g/100 g,8.9 g/100 g,21 g/100 g,"Ciocolata cu lapte, zahar, LAPTE PRAF integral, unt de cacao, masa de cacao, LAPTE praf degresat, emulsifianti(lecitina de floarea-soarelui), poliricinoleat de poliglicerina), aroma(vanilina). Ciocolata cu lappte contine substanta uscata de cacao minimum 32%, substanta uscata din lapte minimum 25%, FISTIC 10%.","Lapte, fistic. Poate contine migdale, alune, gluten, soia, susan si arahide."
Praline de ciocolata asortate Black 180g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Praline-si-bomboane/Praline-de-ciocolata-asortate-Black-180g/p/27377,21 g/100 g,472 kcal/100 g,63 g/100 g,N/A,0.08 g/100 g,6.2 g/100 g,11 g/100 g,"Zahar, amidon de GRAU, faina de SOIA integrala, sirop de glucoza, unt de cacao, palm grasime, masa de cacao, sirop de glucoza-fructoza, LAPTE praf integral, zahar din LAPTE, dextroza, ARAHIDE 2%, ALUNE 0.6%, emulgator: lecitina de floarea-soarelui, umectant: invertazica, sojos pupeliu aliejus, sirop de zahar caramel, coaja de portocala 0.2%, faina de orez, arome: portocal, vanilina, caisa, amaretto, caramela, vanilie, ALUN si smantana (LAPTE), sare, acidifiant (acid citric. Substanta uscata dincacao: in ciocolata minim 35%. Substanta uscata din cacao: in ciocolata cu lapte minim 25%.","Contine: gluten, soia, lapte, arahide, alune. Poate contine urme de oua si alte nuci."
Jeleuri bio fructe 110g,https://www.mega-image.ro/Dulciuri-si-snacks/Dropsuri-guma-si-jeleuri/Jeleuri-si-caramele/Jeleuri-bio-fructe-110g/p/57128,0.1 g/100 g,339 kcal/100 g,77 g/100 g,0.2 g/100 g,N/A,4.5 g/100 g,0.1 g/100 g,"Zahar din trestie (nerafinat), gelatina, concentrat din suc de fructe (mere, portocale, visine, lamai, ananas, grapefruit), acidifianti (malic, citric, lactic), coloranti naturali (din alge, sofran, morcov, mar, coacaze), arome naturale.",N/A
Mini lentile bio ciocolata 100g,https://www.mega-image.ro/Dulciuri-si-snacks/Dropsuri-guma-si-jeleuri/Drajeuri/Mini-lentile-bio-ciocolata-100g/p/57127,18 g/100 g,475 kcal/100 g,73 g/100 g,0.2 g/100 g,N/A,4.4 g/100 g,11 g/100 g,"Ciocolata cu lapte (60%), zahar trestie nerafinat, amidon din orez, sirop de porumb, coloranti naturali din morcovi, mere si spirulina, suc din morcov purpuriu si radacina de sfecla, agent de ingrosare - guma arabica, agent de acoperire - ceara de carnauba.",N/A
Trufe ciocolata cu lichior original 135g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Praline-si-bomboane/Trufe-ciocolata-cu-lichior-original-135g/p/57974,40.7 g/100 g,570 kcal/100 g,45.2 g/100 g,1.3 g/100 g,0.2 g/100 g,5 g/100 g,24.3 g/100 g,"Zahar, unt de cacao, LAPTE praf integral, uleiuri vegetale (ulei de palmier, ulei de shea, ulei de sal, ulei de mango, ulei de seminte de bumbac, ulei de rapita, ulei de floarea soarelui), lichior Original Baileys Irish Cream (8%)(contine LAPTE), masa de cacao, apa, LAPTE evaporat, LAPTE praf degresat, sirop de glucoza, agent de umectare (sorbitol sirop), dextroza, emulsifiant (lecitina de SOIA), arome.","Lapte, soia. Acest produs poate contine urme de fructe cu coaja lemnoasa."
Guma de mestecat Cassis bottle names 84g,https://www.mega-image.ro/Dulciuri-si-snacks/Dropsuri-guma-si-jeleuri/Guma-de-mestecat/Guma-de-mestecat-Cassis-bottle-names-84g/p/49291,0 g/100 g,152 kcal/100 g,63.2 g/100 g,N/A,0 g/100 g,0 g/100 g,N/A,N/A,N/A
Biscuiti 200g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Biscuiti-simpli/Biscuiti-200g/p/47767,5.4 g/100 g,410 kcal/100 g,82.7 g/100 g,2.4 g/100 g,0.18 g/100 g,6.5 g/100 g,0.5 g/100 g,"Zahar, faina de GRAU, samburi de caise (13%), albus de OU, proteine din LAPTE, agent de crestere (bicarbonat de sodiu E500, bicarbonat de amoniu (E503)), arome.","Grau, ou, lapte. Poate contine urme de nuci, alune si alte fructe cu coaja tare."
Biscuiti cu mar 225g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Piscoturi-si-fursecuri/Biscuiti-cu-mar-225g/p/97208,21 g/100 g,484 kcal/100 g,68 g/100 g,N/A,0.61 g/100 g,4.1 g/100 g,9.4 g/100 g,"Faina de GRAU, zahar, uleiuri vegetale (ulei de palmier, ulei de floarea soarelui), sirop de glucoza-fructoza, faina de OVAZ, umectant: glicerina, mere 5%, stafide, arome naturale, scortisoara, agent de ingrosare: pectina, amidon modificat de porumb, agenti de afanare: E450, E500, sare.","Contine gluten. Poate contine urme de: nuci, ou si lapte."
Batoane de ciocolata cu lapte si nuga 6 batoane 6x30g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Batoane/Batoane-de-ciocolata-cu-lapte-si-nuga-6-batoane-6x30g/p/76075,24.0 g/100 g,470 kcal/100 g,57.5 g/100 g,1.6 g/100 g,0.11 g/100 g,6.2 g/100 g,N/A,"Sirop de glucoza, zahar, alune de padure (15%), lapte praf integral, masa de cacao, unt de cacao, grasimi vegetale, lactoza, zer praf indulcit, proteine din lapte, emulgator (lecitina din soia), sare, arome.","Contine: lapte, alune de padure, soia. Poate contine urme de alte nuci, arahide, ou si grau."
Guma de mestecat cu aroma de capsuni 35g,https://www.mega-image.ro/Dulciuri-si-snacks/Dropsuri-guma-si-jeleuri/Guma-de-mestecat/Guma-de-mestecat-cu-aroma-de-capsuni-35g/p/22680,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Zahar, baza de guma, sirop de glucoza, acidifiant, acid citric, agent de umezire glicerol, arome, emulsifiant, lecitina din SOIA, antioxidant BHA, colorant E160a",N/A
Agrise deshidratate 60g,https://www.mega-image.ro/Dulciuri-si-snacks/Seminte-alune-si-fructe-uscate/Fructe-deshidratate-si-confiate/Agrise-deshidratate-60g/p/86605,3.10 g/100 g,283 kcal/100 g,59.30 g/100 g,8.20 g/100 g,0.30 g/100 g,4.50 g/100 g,0.62 g/100 g,Agrise deshidratate.,N/A
Praline ciocolata amaruie si cirese confiate 150g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Praline-si-bomboane/Praline-ciocolata-amaruie-si-cirese-confiate-150g/p/86044,30.82 g/100 g,516 kcal/100 g,53.20 g/100 g,N/A,N/A,6.41 g/100 g,N/A,"Zahar, masa de cacao, cirese confiate 20% (cirese 52%, sirop de glucoza-fructoza din grau, zahar, suc de visine, concentrat vegetal: morcov negru si hibiscus, corector de aciditate: acid citric, arome naturale), unt de cacao, grasimi vegetale, cacao pudra, emulsificator: lecitina din soia, aroma: extract natural de vanilie. Substanta uscata de cacao, in ciocolata 50% min.","Contine: soia si gluten. Poate contine urme de: fructe nucifere, lapte si oua."
Halva cu migdale 400g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Nuga-halva-si-rahat/Halva-cu-migdale-400g/p/94212,34.9 g/100 g,555 kcal/100 g,42.7 g/100 g,5.8 g/100 g,N/A,14.5 g/100 g,6.4 g/100 g,"Tahini (pasta de SUSAN din SUSAN macinat 100%), sirop de glucoza-fructoza, MIGDALE (10%) (fructe cu coaja lemnoasa), ulei de palmier, extract din saponaria officinalis, vanilina.","Contine susan, migdale. Poate contine urme de arahide sau alte fructe cu coaja lemnoasa."
Guma de mestecat menthol&eucalyptus 14g,https://www.mega-image.ro/Dulciuri-si-snacks/Dropsuri-guma-si-jeleuri/Guma-de-mestecat/Guma-de-mestecat-menthol-and-eucalyptus-14g/p/2860,N/A,142 kcal/100 g,59.1 g/100 g,N/A,N/A,N/A,N/A,"Indulcitori sorbitol, isomalt, sirop de maltitol, aspartam, sare de aspartam - acesulfam, acesulfam k, sucraloza, baza de guma (contine lecitina de soia), arome, agent de ingrosare guma arabica, agent de umezire glicerol, colorant E171, agent de glazurare ceara de carnauba, antioxidant BHA, colorant E163.",N/A
Praline de ciocolata cu alune caramelizate 142g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Praline-si-bomboane/Praline-de-ciocolata-cu-alune-caramelizate-142g/p/62480,37.14 g/100 g,574 kcal/100 g,53.10 g/100 g,N/A,N/A,6.89 g/100 g,N/A,"Zahar, alune de padure intregi (23%), unt de cacao, lapte praf integral, masa de cacao, pasta de alune, lapte praf degresat, grasimi vegetale, emulsificator: lecitina din soia, aroma: extract natural de vanilie. Substanta uscata din cacao, in ciocolata: 30% min. Substanta uscata din lapte, in ciocolata: 18% min.","Contine: alune de padure, lapte, soia. Poate contine urme de: alte fructe nucifere, gluten si oua."
Halva cu ciocolata 454g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Nuga-halva-si-rahat/Halva-cu-ciocolata-454g/p/99059,36 g/100 g,550 kcal/100 g,50 g/100 g,14 g/100 g,N/A,14 g/100 g,5.4 g/100 g,"Susan macinat, zahar, cacao, spumant natural: extract natural de radacina de sapunarita, acidifiant: acid citric, arome.",Contine susan.
Gullon Biscuiti cu fulgi de ovaz si fructe 300g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Biscuiti-simpli/Gullon-Biscuiti-cu-fulgi-de-ovaz-si-fructe-300g/p/98317,7.2 g/100 g,459 kcal/100 g,59 g/100 g,11 g/100 g,0.75 g/100 g,6.7 g/100 g,1.7 g/100 g,"Fulgi de ovaz 30.5%, faina integrala din grau 21%, grasimi vegetale (de plamier), zahar, stafide 5.5%, amestec de fructe 3.5% (sirop de glucoza-fructoza, fructe (piure de mare 14%, suc de kiwi 6%), agent de umezire: glicerol, zahar, fibre din grau, grasimi vegetale, agent de ingrosare: pectina, corector de aciditate: acid citric, arome, antioxidant: acid ascorbic, colorant: clorofila), fibre de mar 2.5%, sirop de glucoza-fructoza, fibre vegetale, agenti de afanare: bicarbonat de sodiu, sare.",N/A
Amestec de nuci Gold Mix 300g,https://www.mega-image.ro/Dulciuri-si-snacks/Seminte-alune-si-fructe-uscate/Fistic-caju-si-migdale/Amestec-de-nuci-Gold-Mix-300g/p/17479,39 g/100 g,554 kcal/100 g,32 g/100 g,3.8 g/100 g,1.14 g/100 g,21.5 g/100 g,6.5 g/100 g,"Caju, fistic, migdale sarate, migdale afumate, caju glazurat, migdale glazurate, alune de padure, alune de padure in coaja, in proportii variabile, glazurant (adipat de diamidon acetilat), glucoza, potentiator de gust (glutamat de monosodiu), indulcitor (maltodextrina), proteine hidrolizate, faina de grau, zahar, amidon, antioxidant (acid citric), ulei vegetal, condimente, sare.",Nuci de diferite tipuri.
Alune amestec de nuci regular 300g,https://www.mega-image.ro/Dulciuri-si-snacks/Seminte-alune-si-fructe-uscate/Arahide-si-alune/Alune-amestec-de-nuci-regular-300g/p/17469,39 g/100 g,554 kcal/100 g,32 g/100 g,3.8 g/100 g,1.14 g/100 g,21.5 g/100 g,N/A,"Alune sarate, alune rosii, alune afumate glazurate, alune glazurate, seminte de dovleac, porumb, naut, alune in coaja, naut glazurat, in proportii variabile, glazurant (adipat de diamidon acetilat, glucoza), potentiator de gust (glutamat de monosodiu), indulcitor (maltodextrina), proteine hidrolizate, faina de grau, zahar, amidon, antioxidant (acid citric, ulei vegetal, condimente, sare.",N/A
Drajeuri din fructe exotice ecologice 120g,https://www.mega-image.ro/Dulciuri-si-snacks/Dropsuri-guma-si-jeleuri/Jeleuri-si-caramele/Drajeuri-din-fructe-exotice-ecologice-120g/p/15244,0.10 g/100 g,396 kcal/100 g,98.9 g/100 g,0.1 g/100 g,N/A,N/A,0.10 g/100 g,"Sirop de porumb bio, zahar din trestie bio, gelatina bio: extracte de lamaie bio, portocala bio, fructul pasiunii, ananas bio, kiwi bio, mango bio, soc bio, acidifiant (acid citric, arome naturale, coloranti din fructe si plante (curcuma, alge, sofranel, soc), separatori (ulei de floarea soarelui bio, ceara de carnauba.",N/A
Mini tablete de ciocolata 100g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Praline-si-bomboane/Mini-tablete-de-ciocolata-100g/p/9886,23 g/100 g,476 kcal/100 g,61 g/100 g,N/A,0.13 g/100 g,3.7 g/100 g,14 g/100 g,"Zahar, masa de cacao, sirop de glucoza, unt de cacao, LAPTE condensat, grasimi vegetale in umplutura (miez de palmier, sambure de shea), stabilizator (sirop de sorbitol), bauturi spirtoase 1.2% (lichioruri, whisky, cognac), emulsifiant (lecitina), sirop, sare, arome, agent de ingrosare (pectina). Minimum 48% substanta solida de cacao in ciocolata amaruie. Continut alcool maximum 0.7%.",Lapte. Poate contine urme de fructe cu coaja lemnoasa si de gluten.
Praline cu cacao si cirese confiate Dark & Cherry 155g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Praline-si-bomboane/Praline-cu-cacao-si-cirese-confiate-Dark-and-Cherry-155g/p/6729,29 g/100 g,502 kcal/100 g,55 g/100 g,N/A,0.01 g/100 g,3.6 g/100 g,19 g/100 g,"Zahar, masa de cacao, cirese confiate 18% (cirese 52%, sirop de glucoza-fructoza, zahar, suc de visine, concentrat vegetal: morcov negru si hibiscus, corector de aciditate: acid citric, arome naturale), grasimi vegetale (palmier, shea), unt de cacao, cacao pudra 6%, grasimi din LAPTE, emulsifiant: lecitine (contine SOIA), aroma, aroma de vanilie naturala. Substanta uscata de cacao in ciocolata: 50% minimum.",Contine lapte si soia. Poate contine urme de fructe cu coaja lemnoasa si gluten.
Guma de mestecat 84g,https://www.mega-image.ro/Dulciuri-si-snacks/Dropsuri-guma-si-jeleuri/Guma-de-mestecat/Guma-de-mestecat-84g/p/18502,0 g/100 g,143 kcal/100 g,59.6 g/100 g,N/A,0 g/100 g,0 g/100 g,N/A,"Indulcitor sorbitol, isomalt, sirop de maltitol, aspartam, manitol, acesulfam k, baza de guma, agent de glazurare carbonat de calciu, arome, emulsifiant lecitina din soia, agent de umezire glicerol, agent de ingrosare guma arabica, colorant E171, agent de glazurare ceara de carnauba, colorant E133, antioxidant bha, colorant E160a.",Soia. Contine o sursa de fanilalanina.
Trufe belgiene cu cacao 175g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Praline-si-bomboane/Trufe-belgiene-cu-cacao-175g/p/51228,38 g/100 g,562 kcal/100 g,48.7 g/100 g,5.1 g/100 g,0.11 g/100 g,3.8 g/100 g,34.1 g/100 g,"Zahar, grasimi vegetale (cocos, seminte de palmier, palmier), cacao pudra degresata (18.5%), ZER pudra, emulgator (lecitina din SOIA), tristearat de sorbitan. Aroma naturala de vanilie.",Contine soia si lapte. Poate contine urme de nuci si gluten.
Biscuiti din ovaz cu fructe de padure 200g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Biscuiti-simpli/Biscuiti-din-ovaz-cu-fructe-de-padure-200g/p/53400,15.3 g/100 g,427 kcal/100 g,64.8 g/100 g,7.1 g/100 g,0.85 g/100 g,7.5 g/100 g,5.9 g/100 g,"OVAZ integral 66%, zahar Demerara, ulei din fructe de palmier, fibre dietetice, sirop partial invertit, fructe merisor uscate 3% (fructe de merisor, zahar, ulei de floarea soarelui), amidon din cartofi, sirop de malt din ORZ, agenti de crestere (bicarbonat de amoniu, bicarbonat de sodiu), bucati din piure de zmeura 1% (zmeura, suc de mere concentrat, pulbere de mere, pectina din citrice), sare de mare, arome naturale.",Contine gluten. Poate contine urme de lapte si nuci.
